,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.515507510193231,41.0
19,9.0,2.0,3.5799119431266435,44.0
29,9.0,3.0,3.7557891982472755,38.0
39,9.0,4.0,3.4985396532289226,47.0
49,9.0,5.0,3.8962008976862488,44.0
59,9.0,6.0,3.8740278089705678,38.0
69,9.0,7.0,2.839093854671304,44.0
79,9.0,8.0,4.076623672770855,38.0
89,9.0,9.0,3.9410479513027803,38.0
99,9.0,10.0,4.0869360530162355,44.0
109,9.0,11.0,4.263248848453964,35.0
119,9.0,12.0,3.922535142302489,38.0
129,9.0,13.0,3.979404630620282,35.0
139,9.0,14.0,4.168202987353683,38.0
149,9.0,15.0,3.8276158678745897,38.0
159,9.0,16.0,3.4712352982276706,41.0
169,9.0,17.0,3.0338269891209193,41.0
179,9.0,18.0,3.8158277071887934,44.0
189,9.0,19.0,3.540574220836697,41.0
199,9.0,20.0,3.4321580694489815,41.0
209,9.0,21.0,4.137137145022567,41.0
219,9.0,22.0,3.9897213050330995,44.0
229,9.0,23.0,4.445771461521747,35.0
239,9.0,24.0,3.6966618174129193,44.0
249,9.0,25.0,4.355120124627236,41.0
259,9.0,26.0,3.6370349037364207,41.0
269,9.0,27.0,3.2609155655967696,41.0
279,9.0,28.0,3.993142009378219,38.0
289,9.0,29.0,3.744019017116995,41.0
299,9.0,30.0,4.238131577443962,47.0
309,9.0,31.0,4.556002428919252,41.0
319,9.0,32.0,3.7747760105224977,44.0
329,9.0,33.0,3.5295798421365374,38.0
339,9.0,34.0,3.206418830868268,41.0
349,9.0,35.0,3.8792419527686715,41.0
359,9.0,36.0,3.4294248567125236,41.0
369,9.0,37.0,3.360263210673421,44.0
379,9.0,38.0,3.335888445249148,44.0
389,9.0,39.0,3.7460774566420922,47.0
399,9.0,40.0,3.6478442478821194,38.0
409,9.0,41.0,3.523977609225114,44.0
419,9.0,42.0,4.134687088117633,41.0
429,9.0,43.0,3.6643007974585737,41.0
439,9.0,44.0,4.137495246450456,41.0
449,9.0,45.0,4.444781661291536,44.0
459,9.0,46.0,4.511230006459497,41.0
469,9.0,47.0,3.0541203882385837,41.0
479,9.0,48.0,4.149282204892539,41.0
489,9.0,49.0,3.86452300008519,41.0
499,19.0,25.0,3.6858196349477614,62.0
509,29.0,17.0,4.452017523597397,50.0
519,19.0,26.0,3.3919994948751135,53.0
529,529.0,1.0,4.936423021490854,212.0
539,19.0,27.0,4.465736273466212,50.0
549,49.0,11.0,3.901385245931815,74.0
559,19.0,28.0,3.662232497594088,56.0
569,29.0,19.0,3.7800880089713624,65.0
579,19.0,29.0,4.226500254635326,59.0
589,589.0,1.0,4.858348838910679,221.0
599,19.0,30.0,4.510343040040063,56.0
609,609.0,1.0,4.871084491189276,221.0
619,19.0,31.0,3.9285581537294103,53.0
629,29.0,21.0,4.525797301714377,53.0
639,19.0,32.0,4.398787513198013,53.0
649,49.0,13.0,4.331490184853979,74.0
659,19.0,33.0,4.407258818154283,50.0
669,669.0,1.0,4.878727253255617,221.0
679,19.0,34.0,3.9441900921009347,56.0
689,29.0,23.0,3.6613021279589115,59.0
699,19.0,35.0,4.197895925657837,50.0
709,709.0,1.0,4.917701654515905,221.0
719,19.0,36.0,4.445285929631091,56.0
