,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.978176232975736,0.0
19,9.0,2.0,4.217851565795184,0.0
29,9.0,3.0,4.033642993573324,0.0
39,9.0,4.0,3.690818485759243,0.0
49,9.0,5.0,4.229521574286052,0.0
59,9.0,6.0,4.199667986824194,0.0
69,9.0,7.0,3.861412524310537,0.0
79,9.0,8.0,4.139441444588098,0.0
89,9.0,9.0,4.02810340567293,0.0
99,9.0,10.0,4.086005683562556,0.0
109,9.0,11.0,3.8582476382297797,0.0
119,9.0,12.0,3.7110806467297044,0.0
129,9.0,13.0,4.309753689971793,0.0
139,9.0,14.0,4.01381768200075,0.0
149,9.0,15.0,3.837440288393666,0.0
159,9.0,16.0,4.273605430966202,0.0
169,9.0,17.0,3.799141696537829,0.0
179,9.0,18.0,3.716248619355066,0.0
189,9.0,19.0,4.5701034364181785,0.0
199,9.0,20.0,4.202387289941597,0.0
209,9.0,21.0,4.231638962856749,0.0
219,9.0,22.0,3.8688828410215854,0.0
229,9.0,23.0,4.180260425161043,0.0
239,9.0,24.0,3.583843141892303,0.0
249,9.0,25.0,3.7988660498369358,0.0
259,9.0,26.0,4.368621339429138,0.0
269,9.0,27.0,4.3153373273309885,0.0
279,9.0,28.0,3.7377370170598434,0.0
289,9.0,29.0,3.7741573333657312,0.0
299,9.0,30.0,3.905631747875514,0.0
309,9.0,31.0,4.151576305586248,0.0
319,9.0,32.0,3.5495738301424726,0.0
329,9.0,33.0,4.059781305210073,0.0
339,9.0,34.0,3.9327483872970994,0.0
349,9.0,35.0,4.019211300490557,0.0
359,9.0,36.0,3.7346832403846397,0.0
369,9.0,37.0,4.088829556290481,0.0
379,9.0,38.0,4.3077036320674145,0.0
389,9.0,39.0,4.441809980880031,0.0
399,9.0,40.0,4.225260984652524,0.0
409,9.0,41.0,3.803453291408743,0.0
419,9.0,42.0,4.385124623113272,0.0
429,9.0,43.0,4.127433689946191,0.0
439,9.0,44.0,4.476999178794977,0.0
449,9.0,45.0,4.594332919023816,0.0
459,9.0,46.0,4.013215822255161,0.0
469,9.0,47.0,3.631877285452749,0.0
479,9.0,48.0,3.9687407276823112,0.0
489,9.0,49.0,4.03215184897237,0.0
499,19.0,25.0,4.6665970125743055,0.0
509,29.0,17.0,3.8358506241288772,0.0
519,19.0,26.0,4.111853627323486,0.0
529,529.0,1.0,3.921494423491668,0.0
539,19.0,27.0,4.410244195218872,0.0
549,49.0,11.0,4.281578627572436,0.0
559,19.0,28.0,3.7062873081872953,0.0
569,29.0,19.0,4.442092984089961,0.0
579,19.0,29.0,3.878869661988392,0.0
589,589.0,1.0,3.9307096497181515,0.0
599,19.0,30.0,4.1758765908741085,0.0
609,609.0,1.0,4.091212791091818,0.0
619,19.0,31.0,3.8783165559344708,0.0
629,29.0,21.0,3.583270736278103,0.0
639,19.0,32.0,3.8963504219235645,0.0
649,49.0,13.0,4.044984348014715,0.0
659,19.0,33.0,4.222146071728421,0.0
669,669.0,1.0,3.9573118502356524,0.0
679,19.0,34.0,3.831183293452303,0.0
689,29.0,23.0,4.078454300966854,0.0
699,19.0,35.0,4.223597526974789,0.0
709,709.0,1.0,4.0050370157219035,0.0
719,19.0,36.0,4.062777450447381,0.0
729,729.0,1.0,4.322603938268358,0.0
739,19.0,37.0,3.849341384996959,0.0
749,29.0,25.0,3.6190773430798067,0.0
759,19.0,38.0,3.4859142958935836,0.0
769,69.0,11.0,3.641262774636017,0.0
779,19.0,39.0,3.454547236926878,0.0
789,789.0,1.0,4.164519654394026,0.0
799,19.0,40.0,3.8315915801311036,0.0
809,29.0,27.0,3.8704983340296053,0.0
819,19.0,41.0,3.858904033751968,0.0
829,829.0,1.0,4.2625321612630165,0.0
839,19.0,42.0,4.675799265618981,0.0
849,49.0,17.0,3.7413898971826525,0.0
859,19.0,43.0,4.154288889959331,0.0
869,29.0,29.0,3.630709678038145,0.0
879,19.0,44.0,4.012124444630458,0.0
889,889.0,1.0,3.897368326129252,0.0
899,19.0,45.0,3.6263358780503294,0.0
909,69.0,13.0,3.9549320336913967,0.0
919,19.0,46.0,4.535789657603354,0.0
929,29.0,31.0,4.077417814688802,0.0
939,19.0,47.0,4.593406152115058,0.0
949,49.0,19.0,4.239394407496343,0.0
959,19.0,48.0,4.0483964395295144,0.0
969,969.0,1.0,3.6952039125743217,0.0
979,19.0,49.0,4.250760307239015,0.0
989,29.0,33.0,4.160858031408711,0.0
999,39.0,25.0,3.6790355348785053,0.0
1009,1009.0,1.0,3.793254695505604,0.0
1019,29.0,34.0,3.878022225564351,0.0
1029,1029.0,1.0,3.7680433489903002,0.0
1039,39.0,26.0,3.3568816812330673,0.0
1049,29.0,35.0,3.656011746221396,0.0
1059,529.0,2.0,3.59203060709992,0.0
1069,1069.0,1.0,4.236075848352222,0.0
1079,29.0,36.0,3.642966302473905,0.0
1089,1089.0,1.0,4.638276405428535,0.0
1099,49.0,22.0,4.243507183570538,0.0
1109,29.0,37.0,4.240637313805646,0.0
1119,39.0,28.0,3.989225423146256,0.0
1129,1129.0,1.0,3.6187359948661646,0.0
1139,29.0,38.0,3.8942100077655173,0.0
1149,49.0,23.0,4.343321027733479,0.0
1159,39.0,29.0,3.540588333314585,0.0
1169,29.0,39.0,3.8863861383773117,0.0
1179,589.0,2.0,4.134240982230422,0.0
1189,69.0,17.0,3.876134592498553,0.0
1199,29.0,40.0,4.128689860916889,0.0
1209,109.0,11.0,4.153782909474532,0.0
1219,609.0,2.0,4.362425322699541,0.0
1229,29.0,41.0,4.353304930692232,0.0
1239,39.0,31.0,3.5135901413932316,0.0
1249,49.0,25.0,3.6870605861671506,0.0
1259,29.0,42.0,4.260291688303249,0.0
1269,1269.0,1.0,3.8923461831608046,0.0
1279,39.0,32.0,4.386884804013196,0.0
1289,29.0,43.0,3.852529463315231,0.0
1299,49.0,26.0,3.8021731265844947,0.0
1309,1309.0,1.0,4.379101611265402,0.0
1319,29.0,44.0,3.788441565431964,0.0
1329,69.0,19.0,4.28224884308032,0.0
1339,669.0,2.0,3.907036490849221,0.0
1349,29.0,45.0,3.6194631403268716,0.0
1359,39.0,34.0,3.7851464581732497,0.0
1369,1369.0,1.0,3.837438026515001,0.0
1379,29.0,46.0,3.8055689673158195,0.0
1389,1389.0,1.0,4.254488062518283,0.0
1399,39.0,35.0,3.9151753400073988,0.0
1409,29.0,47.0,4.139061561701345,0.0
1419,709.0,2.0,3.9206601543955166,0.0
1429,109.0,13.0,4.250431695778662,0.0
1439,29.0,48.0,3.612046317741373,0.0
1449,49.0,29.0,4.136221620142667,0.0
1459,729.0,2.0,3.581620069004658,0.0
1469,29.0,49.0,3.7203266394077024,0.0
1479,39.0,37.0,4.280394907576127,0.0
1489,1489.0,1.0,3.6858870547352236,0.0
1499,49.0,30.0,3.85181286914671,0.0
1509,1509.0,1.0,3.48076001142343,0.0
1519,39.0,38.0,4.087822022084981,0.0
1529,89.0,17.0,3.2859756866888703,0.0
1539,69.0,22.0,4.223904630441813,0.0
1549,49.0,31.0,3.5241820795846417,0.0
1559,39.0,39.0,4.046052359909273,0.0
1569,1569.0,1.0,4.278636098156852,0.0
1579,789.0,2.0,4.2452897417328925,0.0
1589,529.0,3.0,3.611956516002228,0.0
1599,39.0,40.0,4.594819667472241,0.0
1609,69.0,23.0,3.3739068683403985,0.0
1619,59.0,27.0,4.139876095844714,0.0
1629,1629.0,1.0,3.796516568473019,0.0
1639,39.0,41.0,3.908978174790394,0.0
1649,49.0,33.0,4.57144124907745,0.0
1659,829.0,2.0,3.6522563278887685,0.0
1669,1669.0,1.0,3.945216378998218,0.0
1679,39.0,42.0,3.716595502626788,0.0
1689,129.0,13.0,4.016991686463501,0.0
1699,49.0,34.0,4.273572108112805,0.0
1709,89.0,19.0,4.016420799950227,0.0
1719,39.0,43.0,3.4486519763425734,0.0
1729,1729.0,1.0,4.054759163931313,0.0
1739,59.0,29.0,4.473461856029435,0.0
1749,49.0,35.0,3.832428885707177,0.0
1759,39.0,44.0,4.190778411994513,0.0
1769,589.0,3.0,3.4609351854204853,0.0
1779,889.0,2.0,3.842597663497621,0.0
1789,1789.0,1.0,3.8005282431360636,0.0
1799,39.0,45.0,4.296647925598401,0.0
1809,1809.0,1.0,3.3278550026635867,0.0
1819,69.0,26.0,3.7935208817613395,0.0
1829,609.0,3.0,3.869576240127153,0.0
1839,39.0,46.0,4.24618212824376,0.0
1849,49.0,37.0,3.688386621873776,0.0
1859,59.0,31.0,3.492531416820828,0.0
1869,109.0,17.0,3.999008357106366,0.0
1879,39.0,47.0,3.479282692407418,0.0
1889,69.0,27.0,3.902544452449503,0.0
1899,49.0,38.0,3.8306236913814646,0.0
1909,1909.0,1.0,4.209218917256839,0.0
1919,39.0,48.0,4.093715491416107,0.0
1929,1929.0,1.0,3.8981771756957317,0.0
1939,969.0,2.0,3.726128174039059,0.0
1949,49.0,39.0,3.810851631069195,0.0
1959,39.0,49.0,4.616774435454465,0.0
1969,1969.0,1.0,4.127950677803946,0.0
1979,59.0,33.0,4.0776276499035715,0.0
1989,1989.0,1.0,3.988707052792207,0.0
1999,49.0,40.0,3.528813639413855,0.0
2009,669.0,3.0,3.9609145572387927,0.0
2019,1009.0,2.0,3.726454571645367,0.0
2029,69.0,29.0,4.071363262233899,0.0
2039,59.0,34.0,4.003595624467973,0.0
2049,49.0,41.0,3.805025993347937,0.0
2059,1029.0,2.0,4.108352663764169,0.0
2069,89.0,23.0,4.188113265081721,0.0
2079,79.0,26.0,3.9407841504659853,0.0
2089,109.0,19.0,3.930114220274026,0.0
2099,49.0,42.0,4.499188441973641,0.0
2119,529.0,4.0,4.218862243683882,0.0
2129,709.0,3.0,3.7405282268152042,0.0
2139,1069.0,2.0,4.278495706604374,0.0
2149,49.0,43.0,4.373802067349316,0.0
2159,59.0,36.0,3.9452164133131467,0.0
2169,69.0,31.0,3.833693419614454,0.0
2179,1089.0,2.0,4.004033530753689,0.0
2189,729.0,3.0,3.8430306720809586,0.0
2199,49.0,44.0,4.296680761942131,0.0
2209,129.0,17.0,4.2236462194806945,0.0
2219,59.0,37.0,3.9908983045678403,0.0
2239,69.0,32.0,4.13193665609786,0.0
2249,49.0,45.0,3.923278812331267,0.0
2259,1129.0,2.0,3.566670806395707,0.0
2279,59.0,38.0,4.501976925276855,0.0
2299,49.0,46.0,3.77975917363361,0.0
2309,69.0,33.0,4.084199737857493,0.0
2319,79.0,29.0,4.146251601577273,0.0
2339,59.0,39.0,4.267528692651799,0.0
2349,49.0,47.0,3.5663929977493214,0.0
2359,589.0,4.0,4.595591453984001,0.0
2369,789.0,3.0,3.9509336908134345,0.0
2379,69.0,34.0,3.730066297494006,0.0
2399,49.0,48.0,3.357178018401486,0.0
2419,109.0,22.0,3.6885204364565425,0.0
2429,89.0,27.0,3.678959679128745,0.0
2439,609.0,4.0,4.024686219272783,0.0
2449,49.0,49.0,3.9109076299326966,0.0
2459,59.0,41.0,3.950390583507993,0.0
2469,129.0,19.0,4.173073064581862,0.0
2479,79.0,31.0,3.7710028340580566,0.0
2489,829.0,3.0,4.326091160839242,0.0
2499,99.0,25.0,3.8284187844536923,0.0
2519,59.0,42.0,3.8930160315547617,0.0
2529,109.0,23.0,3.411350357398846,0.0
2539,1269.0,2.0,3.5730096204592323,0.0
2549,149.0,17.0,4.296768900928003,0.0
2559,79.0,32.0,4.185100217936391,0.0
2579,59.0,43.0,3.5657467674629553,0.0
2589,69.0,37.0,4.457315213187229,0.0
2599,99.0,26.0,3.9688257060914127,0.0
2609,89.0,29.0,4.226409331352636,0.0
