,episode,iteration,epReward,Number of Balls
9,9.0,1.0,2.090527359647073,500.0
19,9.0,2.0,2.38845342878635,500.0
29,9.0,3.0,3.5519699660550286,500.0
39,9.0,4.0,3.599733391383691,500.0
49,9.0,5.0,3.6328654007418737,500.0
59,9.0,6.0,2.9559048792917446,500.0
69,9.0,7.0,3.0982312039359456,500.0
79,9.0,8.0,3.1623769882566113,500.0
89,9.0,9.0,4.101786962967919,500.0
99,9.0,10.0,4.333095856960896,500.0
109,9.0,11.0,3.2259668652596742,500.0
119,9.0,12.0,3.5787048369140324,500.0
129,9.0,13.0,3.4199166032675716,500.0
139,9.0,14.0,3.3419074635046577,500.0
149,9.0,15.0,3.6473667184756184,500.0
159,9.0,16.0,3.537544189757777,500.0
169,9.0,17.0,1.7919585231824713,500.0
179,9.0,18.0,3.020720290444861,500.0
189,9.0,19.0,3.3067536965678386,500.0
199,9.0,20.0,2.6060212479476537,500.0
209,9.0,21.0,3.549822616758271,500.0
219,9.0,22.0,2.783466614955376,500.0
229,9.0,23.0,3.4049249175836414,500.0
239,9.0,24.0,2.805277232687345,500.0
249,9.0,25.0,1.9345317323885403,500.0
259,9.0,26.0,3.8410104371715486,500.0
269,9.0,27.0,3.7140881242275356,500.0
279,9.0,28.0,3.036683183860146,500.0
289,9.0,29.0,3.8744046687592943,500.0
299,9.0,30.0,2.891321145623875,500.0
309,9.0,31.0,3.1426448709899155,500.0
319,9.0,32.0,3.224604902700965,500.0
329,9.0,33.0,3.1913571771512848,500.0
339,9.0,34.0,2.969700312888661,500.0
349,9.0,35.0,2.7238460249197765,500.0
359,9.0,36.0,3.5711121782496815,500.0
369,9.0,37.0,3.314730090490849,500.0
379,9.0,38.0,2.9915295738819108,500.0
389,9.0,39.0,3.8562393819904988,500.0
399,9.0,40.0,4.337588783725223,500.0
409,9.0,41.0,3.9907069067503294,500.0
419,9.0,42.0,2.6277664209801896,500.0
429,9.0,43.0,3.4597188102538756,500.0
439,9.0,44.0,2.5517524765212674,500.0
449,9.0,45.0,3.3410468648798846,500.0
459,9.0,46.0,3.6445187790990192,500.0
469,9.0,47.0,4.1375456650197115,500.0
479,9.0,48.0,3.144880719492434,500.0
489,9.0,49.0,3.0273296729126065,500.0
499,19.0,25.0,3.3899814975859757,500.0
509,29.0,17.0,3.9645717692382125,500.0
519,19.0,26.0,3.7930163709468827,500.0
529,529.0,1.0,3.9505359680196173,500.0
539,19.0,27.0,3.1591035382660744,500.0
549,49.0,11.0,2.421612552048547,500.0
559,19.0,28.0,3.2177466993254686,500.0
569,29.0,19.0,3.739592180356628,500.0
579,19.0,29.0,3.0174335845495746,500.0
589,589.0,1.0,4.708722194304112,500.0
599,19.0,30.0,4.246030039472608,500.0
609,609.0,1.0,4.621683057539462,500.0
619,19.0,31.0,3.4713618386154605,500.0
629,29.0,21.0,3.584624433920846,500.0
639,19.0,32.0,2.2380372567006472,500.0
649,49.0,13.0,3.313838268608267,500.0
659,19.0,33.0,3.7108402840573715,500.0
669,669.0,1.0,4.305429726789203,500.0
679,19.0,34.0,4.0181734837863,500.0
689,29.0,23.0,2.8372268388701416,500.0
699,19.0,35.0,3.5522160492651715,500.0
709,709.0,1.0,4.656696983112063,500.0
719,19.0,36.0,3.4755799218078596,500.0
729,729.0,1.0,4.924621162844098,500.0
739,19.0,37.0,3.0507231619876722,500.0
749,29.0,25.0,3.4291086427852244,500.0
759,19.0,38.0,3.520379865029815,500.0
769,69.0,11.0,3.419900515026929,500.0
779,19.0,39.0,3.7062309484608598,500.0
789,789.0,1.0,4.677054300403226,500.0
799,19.0,40.0,3.2603044452299303,500.0
809,29.0,27.0,3.316657673529171,500.0
819,19.0,41.0,4.11623008456461,500.0
829,829.0,1.0,4.874598464870387,500.0
839,19.0,42.0,2.9531336740242544,500.0
849,49.0,17.0,3.1426545068304677,500.0
859,19.0,43.0,3.3373154191748418,500.0
869,29.0,29.0,3.565350181288583,500.0
879,19.0,44.0,2.99831148898083,500.0
889,889.0,1.0,4.881407057480038,500.0
899,19.0,45.0,3.7090689238200434,500.0
909,69.0,13.0,3.585417355726597,500.0
919,19.0,46.0,3.655314341704412,500.0
929,29.0,31.0,3.9716089412727795,500.0
939,19.0,47.0,4.587972504176571,500.0
949,49.0,19.0,3.5691146993043508,500.0
959,19.0,48.0,3.1088028496854396,500.0
969,969.0,1.0,4.885261345151219,500.0
979,19.0,49.0,3.46182351577789,500.0
989,29.0,33.0,3.35480810516869,500.0
999,39.0,25.0,3.0219213385740966,500.0
1009,1009.0,1.0,4.854883555360165,500.0
1019,29.0,34.0,4.006943435052578,500.0
1029,1029.0,1.0,4.909890221885412,500.0
1039,39.0,26.0,2.6751229024921184,500.0
1049,29.0,35.0,3.386788904045539,500.0
1059,529.0,2.0,4.408241704709466,500.0
1069,1069.0,1.0,4.4998805429821385,500.0
1079,29.0,36.0,2.97900809431982,500.0
1089,1089.0,1.0,4.918529329918077,500.0
1099,49.0,22.0,3.3893321717600013,500.0
1109,29.0,37.0,2.191410513492073,500.0
1119,39.0,28.0,2.930880853219371,500.0
1129,1129.0,1.0,4.850647051662975,500.0
1139,29.0,38.0,3.3572048282238423,500.0
1149,49.0,23.0,3.309684797255107,500.0
1159,39.0,29.0,3.2315517112196384,500.0
1169,29.0,39.0,3.2371452252869686,500.0
1179,589.0,2.0,4.025433939644484,500.0
1189,69.0,17.0,3.2108381361339973,500.0
1199,29.0,40.0,4.338515218404876,500.0
