,episode,iteration,epReward,Number of Balls
9,9.0,1.0,5.0,0.0
19,9.0,2.0,5.0,0.0
29,9.0,3.0,5.0,0.0
39,9.0,4.0,5.0,0.0
49,9.0,5.0,5.0,0.0
59,9.0,6.0,5.0,0.0
69,9.0,7.0,5.0,0.0
79,9.0,8.0,5.0,0.0
89,9.0,9.0,5.0,0.0
99,9.0,10.0,5.0,0.0
109,9.0,11.0,5.0,0.0
119,9.0,12.0,5.0,0.0
129,9.0,13.0,5.0,0.0
139,9.0,14.0,5.0,0.0
149,9.0,15.0,5.0,0.0
159,9.0,16.0,5.0,0.0
169,9.0,17.0,5.0,0.0
179,9.0,18.0,5.0,0.0
189,9.0,19.0,5.0,0.0
199,9.0,20.0,5.0,0.0
209,9.0,21.0,5.0,0.0
219,9.0,22.0,5.0,0.0
229,9.0,23.0,5.0,0.0
239,9.0,24.0,5.0,0.0
249,9.0,25.0,5.0,0.0
259,9.0,26.0,5.0,0.0
269,9.0,27.0,5.0,0.0
279,9.0,28.0,5.0,0.0
289,9.0,29.0,5.0,0.0
299,9.0,30.0,5.0,0.0
309,9.0,31.0,5.0,0.0
319,9.0,32.0,5.0,0.0
329,9.0,33.0,5.0,0.0
339,9.0,34.0,5.0,0.0
349,9.0,35.0,5.0,0.0
359,9.0,36.0,5.0,0.0
369,9.0,37.0,5.0,0.0
379,9.0,38.0,5.0,0.0
389,9.0,39.0,5.0,0.0
399,9.0,40.0,5.0,0.0
409,9.0,41.0,5.0,0.0
419,9.0,42.0,5.0,0.0
429,9.0,43.0,5.0,0.0
439,9.0,44.0,5.0,0.0
449,9.0,45.0,5.0,0.0
459,9.0,46.0,5.0,0.0
469,9.0,47.0,5.0,0.0
479,9.0,48.0,5.0,0.0
489,9.0,49.0,5.0,0.0
499,19.0,25.0,5.0,0.0
509,29.0,17.0,5.0,0.0
519,19.0,26.0,5.0,0.0
529,529.0,1.0,5.0,0.0
539,19.0,27.0,5.0,0.0
549,49.0,11.0,5.0,0.0
559,19.0,28.0,5.0,0.0
569,29.0,19.0,5.0,0.0
579,19.0,29.0,5.0,0.0
589,589.0,1.0,5.0,0.0
599,19.0,30.0,5.0,0.0
609,609.0,1.0,5.0,0.0
619,19.0,31.0,5.0,0.0
629,29.0,21.0,5.0,0.0
639,19.0,32.0,5.0,0.0
649,49.0,13.0,5.0,0.0
659,19.0,33.0,5.0,0.0
669,669.0,1.0,5.0,0.0
679,19.0,34.0,5.0,0.0
689,29.0,23.0,5.0,0.0
699,19.0,35.0,5.0,0.0
709,709.0,1.0,5.0,0.0
719,19.0,36.0,5.0,0.0
729,729.0,1.0,5.0,0.0
739,19.0,37.0,5.0,0.0
749,29.0,25.0,5.0,0.0
759,19.0,38.0,5.0,0.0
769,69.0,11.0,5.0,0.0
779,19.0,39.0,5.0,0.0
789,789.0,1.0,5.0,0.0
799,19.0,40.0,5.0,0.0
809,29.0,27.0,5.0,0.0
819,19.0,41.0,5.0,0.0
829,829.0,1.0,5.0,0.0
839,19.0,42.0,5.0,0.0
