,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.766296955422294,110.0
19,9.0,2.0,3.5823148041447515,110.0
29,9.0,3.0,3.590609724791131,110.0
39,9.0,4.0,3.336278885731343,110.0
49,9.0,5.0,3.4186533461127917,95.0
59,9.0,6.0,2.6112353193265934,95.0
69,9.0,7.0,2.9055506296058313,110.0
79,9.0,8.0,3.560626392237105,155.0
89,9.0,9.0,3.787008313568426,80.0
99,9.0,10.0,3.224253182144246,140.0
109,9.0,11.0,3.6644503878951573,110.0
119,9.0,12.0,3.698918343016352,140.0
129,9.0,13.0,3.8646137984997146,95.0
139,9.0,14.0,3.9669621679349976,125.0
149,9.0,15.0,3.689648345413069,95.0
159,9.0,16.0,3.6449038425612104,110.0
169,9.0,17.0,3.967449849181706,140.0
179,9.0,18.0,3.70404527174616,110.0
189,9.0,19.0,3.133575612646532,95.0
199,19.0,10.0,3.639644174938323,215.0
209,29.0,7.0,3.6530762959830354,335.0
219,19.0,11.0,3.191807877425711,170.0
229,229.0,1.0,3.174776329556679,770.0
239,19.0,12.0,3.769792008204919,230.0
249,49.0,5.0,3.719110476830722,455.0
259,19.0,13.0,3.9433907318778827,170.0
269,29.0,9.0,3.7103017194869805,350.0
279,19.0,14.0,2.874190372102143,185.0
289,289.0,1.0,3.749493308539906,890.0
299,19.0,15.0,3.8116924649343864,140.0
309,309.0,1.0,4.101552773478186,950.0
319,19.0,16.0,3.309420621911646,170.0
329,29.0,11.0,3.3030388796390495,290.0
339,19.0,17.0,3.4917828720493684,185.0
349,49.0,7.0,3.5396677549431197,425.0
359,19.0,18.0,3.2353566414467267,245.0
369,369.0,1.0,4.144092207202226,1055.0
379,19.0,19.0,2.7347499746209034,170.0
389,29.0,13.0,3.5492492862330653,320.0
399,39.0,10.0,3.7898850465679708,395.0
409,409.0,1.0,3.869863747311471,1085.0
419,29.0,14.0,3.608182675560654,320.0
429,429.0,1.0,3.5918635741210476,1130.0
439,39.0,11.0,3.927679352195718,365.0
449,29.0,15.0,4.011438225244186,290.0
459,229.0,2.0,3.725573357324171,845.0
469,469.0,1.0,4.013668380688994,1190.0
479,29.0,16.0,4.304522509175909,335.0
489,69.0,7.0,3.7722804696029812,485.0
499,49.0,10.0,3.823913740572653,410.0
509,29.0,17.0,3.421088634516242,290.0
519,39.0,13.0,2.6859661639630685,395.0
529,529.0,1.0,3.786016591883162,1340.0
539,29.0,18.0,4.071052512088648,350.0
549,49.0,11.0,3.543916494599866,425.0
559,39.0,14.0,3.632882450157379,350.0
569,29.0,19.0,3.402329831993292,320.0
579,289.0,2.0,3.7174604046620003,950.0
589,589.0,1.0,4.094188809234234,1400.0
599,39.0,15.0,4.016265366512658,410.0
609,609.0,1.0,3.6258155980848175,1415.0
619,309.0,2.0,3.7458372002263554,965.0
629,69.0,9.0,2.516585166688313,575.0
639,39.0,16.0,3.750938020205407,365.0
649,49.0,13.0,3.464948897470542,455.0
659,59.0,11.0,3.6101476005803796,470.0
669,669.0,1.0,3.947098063080224,1475.0
679,39.0,17.0,3.765095435509023,320.0
689,229.0,3.0,3.86476506654242,965.0
699,49.0,14.0,4.174628270346399,410.0
709,709.0,1.0,3.6603982451796693,1505.0
719,39.0,18.0,3.541304823241005,455.0
729,729.0,1.0,3.8945820767445443,1535.0
739,369.0,2.0,3.069008648489148,1100.0
749,49.0,15.0,3.376376975153752,440.0
759,39.0,19.0,3.7993193303615396,380.0
769,69.0,11.0,4.044456217716222,485.0
779,59.0,13.0,3.8295861575032544,575.0
789,789.0,1.0,4.035500209453224,1610.0
799,49.0,16.0,3.517320651457851,380.0
809,89.0,9.0,3.8774457035283048,605.0
819,409.0,2.0,4.0819185745215565,1160.0
829,829.0,1.0,4.211823350876149,1625.0
839,59.0,14.0,3.095352681121126,485.0
849,49.0,17.0,3.550194889741271,380.0
859,429.0,2.0,4.124289027769222,1220.0
869,289.0,3.0,3.194773212503721,1070.0
879,79.0,11.0,4.14262037440216,515.0
889,889.0,1.0,3.9206453506057786,1655.0
899,49.0,18.0,3.713825346733681,530.0
909,69.0,13.0,4.1406768390341915,695.0
919,229.0,4.0,3.8210582046369623,890.0
929,309.0,3.0,3.769773198454131,1085.0
939,469.0,2.0,3.4459544547730983,1295.0
