,episode,iteration,epReward,Number of Balls
9,9.0,1.0,1.1365672513455964,95.0
19,9.0,2.0,1.6975846755045392,110.0
29,9.0,3.0,1.9928172899242798,95.0
39,9.0,4.0,1.9515820312757508,125.0
49,9.0,5.0,0.6816843303072146,110.0
59,9.0,6.0,2.6380787219443285,110.0
69,9.0,7.0,2.936200254208513,125.0
79,9.0,8.0,2.1287651809443533,110.0
89,9.0,9.0,0.9252997312041327,125.0
99,9.0,10.0,1.9383447810048495,110.0
109,9.0,11.0,1.9099894112593663,125.0
119,9.0,12.0,2.321606297523518,110.0
129,9.0,13.0,0.9522599633644686,80.0
139,9.0,14.0,1.9416285714112382,125.0
149,9.0,15.0,2.196115321101696,110.0
159,9.0,16.0,2.5339310412871785,95.0
169,9.0,17.0,1.5508002983549325,140.0
179,9.0,18.0,2.8640936778119954,125.0
189,9.0,19.0,1.705541647087328,95.0
199,19.0,10.0,2.614903243523232,215.0
209,29.0,7.0,2.33901460283929,290.0
219,19.0,11.0,2.101705410718601,215.0
229,229.0,1.0,3.955114571013077,875.0
239,19.0,12.0,3.001420637009999,200.0
249,49.0,5.0,3.092768239538819,410.0
259,19.0,13.0,3.993303267974473,200.0
269,29.0,9.0,1.3466569800076358,320.0
279,19.0,14.0,2.1371815954704614,230.0
289,289.0,1.0,3.770739910818694,1055.0
299,19.0,15.0,2.314783610952105,230.0
309,309.0,1.0,3.734016188787318,1070.0
319,19.0,16.0,2.500808938622602,185.0
329,29.0,11.0,3.113450890136882,290.0
339,19.0,17.0,2.135064835553179,230.0
349,49.0,7.0,1.3152098767248492,365.0
359,19.0,18.0,2.229566321358357,260.0
369,369.0,1.0,3.7361712064003223,1205.0
379,19.0,19.0,2.9611053939646146,170.0
389,29.0,13.0,3.373209084582396,260.0
399,39.0,10.0,3.4776302210177006,320.0
409,409.0,1.0,3.6186700776394023,1310.0
419,29.0,14.0,2.337838968076018,305.0
429,429.0,1.0,4.166352413343319,1310.0
439,39.0,11.0,1.9495971624395758,350.0
449,29.0,15.0,2.400028967296196,275.0
459,229.0,2.0,3.158240344629486,785.0
469,469.0,1.0,2.85580256227395,1355.0
479,29.0,16.0,2.4867561561691183,290.0
489,69.0,7.0,3.5193110741446643,500.0
499,49.0,10.0,3.911300416627056,335.0
509,29.0,17.0,3.7621853966780905,290.0
519,39.0,13.0,3.6553657800393937,305.0
529,529.0,1.0,4.562187355796375,1460.0
539,29.0,18.0,2.4088524134271214,335.0
549,49.0,11.0,2.7137432342621466,380.0
559,39.0,14.0,2.2112988256577735,365.0
569,29.0,19.0,2.715353522158775,215.0
579,289.0,2.0,3.355752931060458,875.0
589,589.0,1.0,4.27808422598169,1595.0
599,39.0,15.0,2.924859014986966,380.0
609,609.0,1.0,4.0727550151552885,1595.0
619,309.0,2.0,3.0083018575614773,935.0
629,69.0,9.0,2.9257172186422515,485.0
639,39.0,16.0,2.665679596354584,350.0
649,49.0,13.0,3.1598047031027536,320.0
659,59.0,11.0,4.131656573052845,380.0
669,669.0,1.0,4.339253946833789,1625.0
679,39.0,17.0,2.9856612048237414,350.0
689,229.0,3.0,3.442582164194237,845.0
699,49.0,14.0,2.9451105435579534,395.0
709,709.0,1.0,4.338107400351378,1655.0
719,39.0,18.0,2.551329009671775,425.0
729,729.0,1.0,4.090460523171755,1685.0
739,369.0,2.0,4.413307945209663,1025.0
749,49.0,15.0,3.3891078481796963,410.0
759,39.0,19.0,2.907044333574423,305.0
769,69.0,11.0,3.928311961747686,395.0
779,59.0,13.0,3.4375476440457735,365.0
789,789.0,1.0,4.35367481221907,1715.0
799,49.0,16.0,2.4794443692156785,410.0
809,89.0,9.0,3.029612020540058,530.0
819,409.0,2.0,2.378620346921686,1115.0
829,829.0,1.0,4.310954336886356,1730.0
839,59.0,14.0,3.013230309082804,455.0
849,49.0,17.0,3.6459132957480676,380.0
859,429.0,2.0,4.299480305612251,1160.0
869,289.0,3.0,3.2147902163308455,1010.0
879,79.0,11.0,3.4478969376298,395.0
889,889.0,1.0,4.589480345411335,1775.0
899,49.0,18.0,3.285214163628117,470.0
909,69.0,13.0,1.5165590536553197,395.0
919,229.0,4.0,2.8559340473913895,785.0
929,309.0,3.0,3.3613388141667784,1025.0
939,469.0,2.0,4.167300973330206,1205.0
949,49.0,19.0,2.602312026711348,350.0
959,59.0,16.0,3.141003101276918,425.0
969,969.0,1.0,3.934216623907148,1790.0
979,69.0,14.0,2.7530673765112885,455.0
989,89.0,11.0,3.355200240093958,410.0
999,99.0,10.0,2.7535188068424015,455.0
1009,1009.0,1.0,4.56319401129711,1790.0
1019,59.0,17.0,2.8360719700314685,410.0
1029,1029.0,1.0,4.260988410248785,1805.0
1039,79.0,13.0,3.118864040833839,410.0
1049,69.0,15.0,3.398747522684167,440.0
1059,529.0,2.0,3.6535456549957868,1265.0
1069,1069.0,1.0,4.728511607923277,1835.0
1079,59.0,18.0,3.1483142222816483,530.0
1089,1089.0,1.0,4.430446885361843,1835.0
1099,99.0,11.0,3.4745892656883695,425.0
1109,369.0,3.0,4.117370084001361,1145.0
1119,69.0,16.0,2.404934582087109,470.0
1129,1129.0,1.0,4.693580301965261,1850.0
1139,59.0,19.0,3.114250403557864,395.0
1149,229.0,5.0,3.6857497668630264,980.0
1159,289.0,4.0,2.1522571849529224,905.0
1169,89.0,13.0,2.721949729140963,485.0
1179,589.0,2.0,3.9559807905393503,1280.0
1189,69.0,17.0,2.852378391179136,455.0
1199,79.0,15.0,3.8698627814216247,440.0
1209,109.0,11.0,3.0082017048740983,455.0
1219,609.0,2.0,3.3335884697630194,1295.0
1229,409.0,3.0,3.9063403569443462,1190.0
1239,309.0,4.0,3.984938064676696,905.0
1249,249.0,5.0,3.543431136371242,1040.0
1259,69.0,18.0,2.789734633245893,530.0
1269,1269.0,1.0,4.590151592407721,1850.0
1279,79.0,16.0,2.961003243093958,545.0
1289,429.0,3.0,3.4871666622665334,1250.0
1299,99.0,13.0,2.272776133496565,515.0
1309,1309.0,1.0,4.1952647643512755,1895.0
1319,109.0,12.0,2.4369050203144984,545.0
1329,69.0,19.0,3.4742053835856312,425.0
1339,669.0,2.0,4.032293587080346,1355.0
1349,89.0,15.0,3.4799345254783343,470.0
1359,79.0,17.0,3.5587111403335725,455.0
1369,1369.0,1.0,4.224836045003588,1925.0
1379,229.0,6.0,3.2679172296080106,740.0
1389,1389.0,1.0,4.4597815029974806,1940.0
1399,99.0,14.0,3.496018843328076,530.0
1409,469.0,3.0,4.169057536159042,1310.0
1419,709.0,2.0,3.666066207895123,1370.0
1429,109.0,13.0,3.5877522202757346,560.0
