,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.9135598196894894,125.0
19,9.0,2.0,4.1723452794905915,125.0
29,9.0,3.0,3.9490106429577785,95.0
39,9.0,4.0,4.028527819673101,110.0
49,9.0,5.0,3.7530735877192747,110.0
59,9.0,6.0,3.327243409334989,125.0
69,9.0,7.0,3.701499203054337,125.0
79,9.0,8.0,3.872013368120651,95.0
89,9.0,9.0,3.484355375110661,170.0
99,9.0,10.0,3.6350048980640253,140.0
109,9.0,11.0,4.153253605601061,110.0
119,9.0,12.0,3.932686152675024,140.0
129,9.0,13.0,3.3642965969244285,125.0
139,9.0,14.0,4.278017866476881,125.0
149,9.0,15.0,4.120347909512708,140.0
159,9.0,16.0,3.578494940175733,95.0
169,9.0,17.0,4.0805628903391895,125.0
179,9.0,18.0,4.031306512204553,95.0
189,9.0,19.0,3.954862141186217,125.0
199,19.0,10.0,4.250249023498089,230.0
209,29.0,7.0,3.7497921275456925,215.0
219,19.0,11.0,4.098910001963191,230.0
229,229.0,1.0,4.108423965690109,680.0
239,19.0,12.0,4.099514035310833,215.0
249,49.0,5.0,3.9249527733549145,545.0
259,19.0,13.0,3.4928479911910895,185.0
269,29.0,9.0,4.2188127742954356,230.0
279,19.0,14.0,3.7678005558542385,245.0
289,289.0,1.0,3.4388118949163156,725.0
299,19.0,15.0,4.116053212209337,215.0
309,309.0,1.0,3.402222889875987,770.0
319,19.0,16.0,4.16190014628119,185.0
329,29.0,11.0,4.209370756365935,335.0
339,19.0,17.0,4.402003098224809,170.0
349,49.0,7.0,3.9684406986709204,335.0
359,19.0,18.0,3.6676743189099485,185.0
369,369.0,1.0,4.111388841774383,815.0
379,19.0,19.0,3.6914613349596053,215.0
389,29.0,13.0,4.187330301671325,290.0
399,39.0,10.0,3.598392676257272,305.0
409,409.0,1.0,4.339748130650857,905.0
419,29.0,14.0,3.732647256187857,290.0
429,429.0,1.0,4.088649194281004,905.0
439,39.0,11.0,4.455584057503815,380.0
449,29.0,15.0,3.8493523613419813,275.0
459,229.0,2.0,3.781595929212735,950.0
469,469.0,1.0,4.413444553871106,980.0
479,29.0,16.0,3.363125628501173,245.0
489,69.0,7.0,3.23629875683233,350.0
499,49.0,10.0,3.8428541839961987,365.0
509,29.0,17.0,4.312627143030905,260.0
519,39.0,13.0,2.9338347567483924,350.0
529,529.0,1.0,4.134940280834078,1175.0
539,29.0,18.0,3.8149303548268443,260.0
549,49.0,11.0,3.9653936748187455,425.0
559,39.0,14.0,3.8801525314046743,335.0
569,29.0,19.0,3.6956393249234676,290.0
579,289.0,2.0,4.198762585934572,1115.0
589,589.0,1.0,4.148583885374788,1250.0
599,39.0,15.0,4.460687025377409,335.0
609,609.0,1.0,4.071382094198894,1250.0
619,309.0,2.0,3.913916058976448,1145.0
629,69.0,9.0,3.8858923139116923,425.0
639,39.0,16.0,4.219991927631754,380.0
649,49.0,13.0,4.327148481087092,380.0
659,59.0,11.0,4.277982257732493,455.0
669,669.0,1.0,3.957253265489549,1265.0
679,39.0,17.0,3.552430819076099,350.0
689,229.0,3.0,4.364519974005192,920.0
699,49.0,14.0,4.106517234741586,350.0
709,709.0,1.0,4.279006386981157,1280.0
719,39.0,18.0,4.264787927351986,395.0
729,729.0,1.0,4.222257260837255,1280.0
739,369.0,2.0,3.795571651046749,1205.0
749,49.0,15.0,4.3085464001233,365.0
759,39.0,19.0,4.518928354133777,395.0
769,69.0,11.0,4.3339945434252245,455.0
779,59.0,13.0,4.212235433573493,440.0
789,789.0,1.0,3.838597637824732,1310.0
799,49.0,16.0,3.743735224406772,455.0
809,89.0,9.0,4.129645676625783,440.0
819,409.0,2.0,4.569816168197084,1310.0
829,829.0,1.0,4.35688029583006,1325.0
839,59.0,14.0,4.127725054066218,425.0
849,49.0,17.0,4.026948121353643,395.0
859,429.0,2.0,4.673992167413829,1310.0
869,289.0,3.0,4.079868933298416,1025.0
879,79.0,11.0,4.0214724492756755,470.0
889,889.0,1.0,4.192682953971029,1340.0
899,49.0,18.0,3.8637725173322064,455.0
909,69.0,13.0,3.8289352282732803,515.0
919,229.0,4.0,4.559968309733831,950.0
929,309.0,3.0,4.325654762068135,1040.0
939,469.0,2.0,4.026353150195601,1385.0
949,49.0,19.0,3.7732776584699534,440.0
959,59.0,16.0,4.063526627427854,470.0
969,969.0,1.0,3.9744827298027356,1385.0
979,69.0,14.0,3.6180813747329,440.0
989,89.0,11.0,4.30138758033384,470.0
999,99.0,10.0,4.1592013344619305,440.0
1009,1009.0,1.0,4.339913437219689,1460.0
1019,59.0,17.0,3.6858825758019913,440.0
1029,1029.0,1.0,4.013010883269082,1490.0
1039,79.0,13.0,4.110525461963855,530.0
1049,69.0,15.0,4.05911183294163,500.0
1059,529.0,2.0,4.109766732560737,1490.0
1069,1069.0,1.0,4.410348849445888,1520.0
1079,59.0,18.0,3.8652327975628387,470.0
1089,1089.0,1.0,4.489170928459478,1520.0
1099,99.0,11.0,3.482424774300961,500.0
1109,369.0,3.0,4.20507548172514,1130.0
1119,69.0,16.0,4.261748120956089,485.0
1129,1129.0,1.0,4.323396518437878,1520.0
1139,59.0,19.0,4.306363103711334,440.0
1149,229.0,5.0,3.9316185688998844,980.0
1159,289.0,4.0,4.18785982921278,1085.0
1169,89.0,13.0,3.8643821441695145,530.0
1179,589.0,2.0,3.6612953854537427,1505.0
1189,69.0,17.0,3.7128227068531876,455.0
1199,79.0,15.0,4.19553229583477,515.0
1209,109.0,11.0,4.159633858402706,530.0
1219,609.0,2.0,4.395417166575996,1520.0
1229,409.0,3.0,3.989202933127623,1205.0
1239,309.0,4.0,3.7981489655154492,1115.0
1249,249.0,5.0,4.097297903891459,1010.0
1259,69.0,18.0,4.005306227589103,515.0
1269,1269.0,1.0,4.36026232015546,1595.0
1279,79.0,16.0,4.1541101793095585,530.0
1289,429.0,3.0,3.652827167083159,1280.0
1299,99.0,13.0,4.629864427657267,560.0
1309,1309.0,1.0,4.194773763330776,1610.0
1319,109.0,12.0,4.402731821195519,575.0
1329,69.0,19.0,4.351963003418262,530.0
1339,669.0,2.0,4.344326717345799,1565.0
1349,89.0,15.0,4.067310126244587,560.0
1359,79.0,17.0,4.136313479072565,485.0
1369,1369.0,1.0,3.9830003993705856,1640.0
1379,229.0,6.0,4.068138268018917,950.0
1389,1389.0,1.0,4.050926112565887,1655.0
1399,99.0,14.0,3.752515364148403,545.0
1409,469.0,3.0,4.279762857501266,1340.0
1419,709.0,2.0,4.093179346952822,1625.0
1429,109.0,13.0,3.938594090505532,605.0
1439,79.0,18.0,4.3553558987306396,575.0
1449,289.0,5.0,3.980998397506707,1175.0
1459,729.0,2.0,3.752702420387661,1640.0
1469,209.0,7.0,3.6326438806023513,665.0
1479,369.0,4.0,4.216390484917897,1250.0
