,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.6051260102747618,125.0
19,9.0,2.0,4.2981799429218395,125.0
29,9.0,3.0,3.949412745566504,110.0
39,9.0,4.0,4.2846930349243735,110.0
49,9.0,5.0,4.480096032571259,110.0
59,9.0,6.0,3.1123908348972456,110.0
69,9.0,7.0,3.6697147482361885,140.0
79,9.0,8.0,3.5951066704638053,110.0
89,9.0,9.0,3.8041998810767286,170.0
99,9.0,10.0,3.872893529479475,170.0
109,9.0,11.0,4.331827746140666,110.0
119,9.0,12.0,4.370512683972193,155.0
129,9.0,13.0,3.249328951429692,110.0
139,9.0,14.0,3.991249452334294,125.0
149,9.0,15.0,4.255444450196837,95.0
159,9.0,16.0,3.6465432367721187,95.0
169,9.0,17.0,4.114125093860183,110.0
179,9.0,18.0,4.105997979549973,95.0
189,9.0,19.0,3.8837142470173682,110.0
199,19.0,10.0,3.9413948163285113,200.0
209,29.0,7.0,3.856974092786358,260.0
219,19.0,11.0,4.499065872768548,215.0
229,229.0,1.0,3.9073338480360014,800.0
239,19.0,12.0,4.6076199780154745,245.0
249,49.0,5.0,4.649746256564066,530.0
259,19.0,13.0,3.55695863908069,215.0
269,29.0,9.0,4.037493182500346,305.0
279,19.0,14.0,4.027299941070327,230.0
289,289.0,1.0,4.472190125304722,815.0
299,19.0,15.0,4.4519445974765635,140.0
309,309.0,1.0,4.290798516746999,845.0
319,19.0,16.0,3.382274615281186,200.0
329,29.0,11.0,3.5397511160179302,320.0
339,19.0,17.0,4.574419228482187,170.0
349,49.0,7.0,4.536629175824412,410.0
359,19.0,18.0,3.5617593608160387,140.0
369,369.0,1.0,4.014691971021314,890.0
379,19.0,19.0,4.128841910050621,215.0
389,29.0,13.0,3.97050149133804,260.0
399,39.0,10.0,3.8339499855769086,305.0
409,409.0,1.0,4.11475492497338,905.0
419,29.0,14.0,3.8439074639083146,305.0
429,429.0,1.0,4.021440254433638,935.0
439,39.0,11.0,4.33355273142751,410.0
449,29.0,15.0,3.739278700716337,245.0
459,229.0,2.0,3.651465280251411,860.0
469,469.0,1.0,4.353076314869948,950.0
479,29.0,16.0,4.23027351070397,275.0
489,69.0,7.0,4.072679082394264,515.0
499,49.0,10.0,4.0289496856637665,380.0
509,29.0,17.0,4.3208966178601385,260.0
519,39.0,13.0,4.063569635855245,305.0
529,529.0,1.0,4.321457166258907,1115.0
539,29.0,18.0,4.338568024099848,290.0
549,49.0,11.0,4.160079148902092,440.0
559,39.0,14.0,4.0528288675337105,380.0
569,29.0,19.0,3.9363495694184616,305.0
579,289.0,2.0,4.44010768748587,935.0
589,589.0,1.0,3.64089403632732,1190.0
599,39.0,15.0,4.198396920071308,335.0
609,609.0,1.0,4.602240092243188,1235.0
619,309.0,2.0,4.039776240895792,950.0
629,69.0,9.0,2.6971598644359513,635.0
639,39.0,16.0,3.598530332967317,395.0
649,49.0,13.0,4.388816909417004,380.0
659,59.0,11.0,3.5482923049066244,455.0
669,669.0,1.0,4.266835999306181,1310.0
679,39.0,17.0,4.2672003649142916,305.0
689,229.0,3.0,4.473401382553156,815.0
699,49.0,14.0,4.255456833792931,380.0
709,709.0,1.0,4.201137454666663,1325.0
719,39.0,18.0,3.9645433089718107,410.0
729,729.0,1.0,4.098107776110101,1385.0
739,369.0,2.0,3.6669666897112854,1115.0
749,49.0,15.0,3.968790427191645,470.0
759,39.0,19.0,4.580948527700064,365.0
769,69.0,11.0,4.114378998853637,470.0
779,59.0,13.0,4.556461024575287,440.0
789,789.0,1.0,4.14898508592264,1505.0
799,49.0,16.0,4.047056124175598,470.0
809,89.0,9.0,4.300705055597501,635.0
819,409.0,2.0,4.2834497165813765,1160.0
829,829.0,1.0,4.33736595902492,1565.0
839,59.0,14.0,3.6773360393149264,425.0
849,49.0,17.0,4.132402346972999,410.0
859,429.0,2.0,4.059746361316868,1190.0
869,289.0,3.0,4.065051622927054,920.0
879,79.0,11.0,4.300428194318562,590.0
889,889.0,1.0,4.254026392372915,1580.0
899,49.0,18.0,4.318220119082661,410.0
