,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.135273337022943,142805.0
19,9.0,2.0,3.707812920311069,142805.0
29,9.0,3.0,2.9737776099859916,142805.0
39,9.0,4.0,3.2425911794543403,142805.0
49,9.0,5.0,3.180485619030613,142805.0
59,9.0,6.0,3.66252615206032,142805.0
69,9.0,7.0,3.7054815899166496,142805.0
79,9.0,8.0,3.2057256548807227,142805.0
89,9.0,9.0,3.516300360206481,142805.0
99,9.0,10.0,3.868872104555306,142805.0
109,9.0,11.0,3.104177018752436,142805.0
119,9.0,12.0,3.5696600752411927,142805.0
129,9.0,13.0,3.2381816051411443,142805.0
139,9.0,14.0,3.4419636375809155,142805.0
149,9.0,15.0,2.9355432631295315,142805.0
159,9.0,16.0,2.7933530094430092,142805.0
169,9.0,17.0,2.681794810248374,142805.0
179,9.0,18.0,2.880254357829352,142805.0
189,9.0,19.0,3.4572132437671947,142805.0
199,19.0,10.0,3.263831183783726,142805.0
209,29.0,7.0,3.5964241268899504,142805.0
219,19.0,11.0,3.8449369848865214,142805.0
229,229.0,1.0,3.82499170180007,142805.0
239,19.0,12.0,3.4938972989123473,142805.0
249,49.0,5.0,3.009162793173518,142805.0
259,19.0,13.0,3.1361758168022407,142805.0
269,29.0,9.0,3.5242856768171587,142805.0
279,19.0,14.0,3.560270983459967,142805.0
289,289.0,1.0,3.245797967012191,142805.0
299,19.0,15.0,3.11760830911889,142805.0
309,309.0,1.0,3.786165079458414,142805.0
319,19.0,16.0,3.0167658771712333,142805.0
329,29.0,11.0,3.622561910537054,142805.0
339,19.0,17.0,3.578600449725484,142805.0
349,49.0,7.0,3.213848263875769,142805.0
359,19.0,18.0,3.9210541923759155,142805.0
369,369.0,1.0,4.065750240917065,142805.0
379,19.0,19.0,3.2243909754148934,142805.0
389,29.0,13.0,3.856665370126274,142805.0
399,39.0,10.0,4.037573550329298,142805.0
409,409.0,1.0,2.9246648044181285,142805.0
419,29.0,14.0,3.060707513195162,142805.0
429,429.0,1.0,3.516766935562923,142805.0
439,39.0,11.0,3.5015087861288263,142805.0
449,29.0,15.0,3.477206367476743,142805.0
459,229.0,2.0,3.2039311986151704,142805.0
469,469.0,1.0,3.1538454069383244,142805.0
479,29.0,16.0,3.7826184351248795,142805.0
489,69.0,7.0,3.2925338161071185,142805.0
499,49.0,10.0,2.7195583667099505,142805.0
509,29.0,17.0,3.2005119749822173,142805.0
519,39.0,13.0,3.500250450301138,142805.0
529,529.0,1.0,3.7331889332735684,142805.0
539,29.0,18.0,2.9994269149607593,142805.0
549,49.0,11.0,3.588931171200339,142805.0
559,39.0,14.0,4.269445329150416,142805.0
569,29.0,19.0,4.06999354612815,142805.0
579,289.0,2.0,3.4226331053065153,142805.0
589,589.0,1.0,3.539385642421839,142805.0
599,39.0,15.0,2.761653969903148,142805.0
609,609.0,1.0,3.115715108909907,142805.0
619,309.0,2.0,3.6395455243972346,142805.0
