,episode,iteration,epReward,Number of Balls
9,9.0,1.0,2.206667032741239,142805.0
19,9.0,2.0,1.5461080346970275,142805.0
29,9.0,3.0,3.512229889403198,142805.0
39,9.0,4.0,1.8601834527693493,142805.0
49,9.0,5.0,2.3054877371038134,142805.0
59,9.0,6.0,1.5449112381751822,142805.0
69,9.0,7.0,1.768082217350703,142805.0
79,9.0,8.0,2.958334825883656,142805.0
89,9.0,9.0,1.221520147068945,142805.0
99,9.0,10.0,3.0433393893138296,142805.0
109,9.0,11.0,-0.2263797001557003,142805.0
119,9.0,12.0,2.7582217644430305,142805.0
129,9.0,13.0,1.8223939311242723,142805.0
139,9.0,14.0,1.9688366794282923,142805.0
149,9.0,15.0,0.908843107217314,142805.0
159,9.0,16.0,2.189108953395907,142805.0
169,9.0,17.0,2.869520011361801,142805.0
179,9.0,18.0,1.382802238724047,142805.0
189,9.0,19.0,0.8880423533849207,142805.0
199,19.0,10.0,2.429113318244706,142805.0
209,29.0,7.0,2.825536372007756,142805.0
219,19.0,11.0,1.2328700796490941,142805.0
229,229.0,1.0,2.77900849118112,142805.0
239,19.0,12.0,1.6445106550758415,142805.0
249,49.0,5.0,2.208778418918269,142805.0
259,19.0,13.0,2.1778117435877737,142805.0
269,29.0,9.0,0.6126354326501116,142805.0
279,19.0,14.0,2.3469932101658957,142805.0
289,289.0,1.0,2.2713328314181265,142805.0
299,19.0,15.0,1.5940206465073525,142805.0
309,309.0,1.0,1.4109257693823638,142805.0
319,19.0,16.0,2.267740317059194,142805.0
329,29.0,11.0,0.5961963561062654,142805.0
339,19.0,17.0,3.03928327596942,142805.0
349,49.0,7.0,2.502534410753543,142805.0
359,19.0,18.0,0.34246588369008324,142805.0
369,369.0,1.0,1.3549050347502134,142805.0
379,19.0,19.0,1.0447812291506837,142805.0
389,29.0,13.0,1.667898643858074,142805.0
399,39.0,10.0,1.8307386594058643,142805.0
409,409.0,1.0,2.029674134950567,142805.0
419,29.0,14.0,2.132029272345851,142805.0
429,429.0,1.0,2.130547044058235,142805.0
439,39.0,11.0,1.972399808145585,142805.0
449,29.0,15.0,1.6327107221876334,142805.0
459,229.0,2.0,1.03576330127051,142805.0
469,469.0,1.0,2.2070140042032707,142805.0
479,29.0,16.0,0.9493536537342399,142805.0
489,69.0,7.0,0.9708879511485431,142805.0
499,49.0,10.0,2.670661487122361,142805.0
509,29.0,17.0,2.839757799765679,142805.0
519,39.0,13.0,1.7360209583940251,142805.0
529,529.0,1.0,1.461248102370865,142805.0
539,29.0,18.0,1.0793406787580415,142805.0
549,49.0,11.0,1.1066479012810384,142805.0
559,39.0,14.0,2.1991804697188932,142805.0
569,29.0,19.0,0.9044478094627975,142805.0
579,289.0,2.0,2.3459657050974982,142805.0
589,589.0,1.0,0.9843420934199223,142805.0
599,39.0,15.0,0.6560800374161606,142805.0
609,609.0,1.0,2.217251811372723,142805.0
619,309.0,2.0,1.841685619117458,142805.0
629,69.0,9.0,0.26311664814791713,142805.0
639,39.0,16.0,0.5895250415975912,142805.0
649,49.0,13.0,1.4200763084401828,142805.0
659,59.0,11.0,2.2773668036780057,142805.0
669,669.0,1.0,2.2029593595859827,142805.0
679,39.0,17.0,0.7014663491204549,142805.0
689,229.0,3.0,1.3890037363504173,142805.0
699,49.0,14.0,2.528330264910027,142805.0
709,709.0,1.0,1.846592978493137,142805.0
719,39.0,18.0,-0.5980662483136019,142805.0
729,729.0,1.0,1.8604200365974297,142805.0
739,369.0,2.0,2.3162340560826893,142805.0
749,49.0,15.0,2.0599919774744677,142805.0
759,39.0,19.0,1.923389426831589,142805.0
769,69.0,11.0,0.5531546535298995,142805.0
779,59.0,13.0,1.682460548637993,142805.0
789,789.0,1.0,1.8213838926540653,142805.0
799,49.0,16.0,1.460982220356926,142805.0
809,89.0,9.0,1.0946972341245966,142805.0
819,409.0,2.0,2.08582678867899,142805.0
829,829.0,1.0,2.136042035730841,142805.0
839,59.0,14.0,1.6417665181330618,142805.0
849,49.0,17.0,0.8828571286171394,142805.0
859,429.0,2.0,2.513451817407746,142805.0
869,289.0,3.0,2.831108551036566,142805.0
879,79.0,11.0,1.8433175836098519,142805.0
889,889.0,1.0,2.257159774005287,142805.0
899,49.0,18.0,0.7832287362584645,142805.0
909,69.0,13.0,0.5607492147886473,142805.0
919,229.0,4.0,1.9230915491437834,142805.0
929,309.0,3.0,1.5714370461414964,142805.0
939,469.0,2.0,1.21811638472299,142805.0
949,49.0,19.0,0.9495664093976748,142805.0
959,59.0,16.0,2.109801972474058,142805.0
969,969.0,1.0,1.9941254409588296,142805.0
979,69.0,14.0,2.1241336241030715,142805.0
989,89.0,11.0,1.475478268176026,142805.0
999,99.0,10.0,1.821588290553954,142805.0
1009,1009.0,1.0,0.8788470588628431,142805.0
1019,59.0,17.0,3.5616339588303987,142805.0
1029,1029.0,1.0,1.60135042273662,142805.0
1039,79.0,13.0,3.346370142868177,142805.0
1049,69.0,15.0,2.104573874694186,142805.0
1059,529.0,2.0,1.804269013949815,142805.0
1069,1069.0,1.0,2.0196940233545453,142805.0
1079,59.0,18.0,1.104664760251471,142805.0
1089,1089.0,1.0,1.6416571936803697,142805.0
1099,99.0,11.0,1.455740251083558,142805.0
1109,369.0,3.0,2.397791331081301,142805.0
1119,69.0,16.0,0.7438110156863597,142805.0
1129,1129.0,1.0,1.0802120542082299,142805.0
1139,59.0,19.0,0.6355368997225361,142805.0
1149,229.0,5.0,1.9894102343917328,142805.0
1159,289.0,4.0,2.07321760989265,142805.0
1169,89.0,13.0,1.2372852712518234,142805.0
1179,589.0,2.0,1.759281799105393,142805.0
1189,69.0,17.0,3.3480586255938487,142805.0
1199,79.0,15.0,0.9989377606130915,142805.0
1209,109.0,11.0,0.9528406808658884,142805.0
1219,609.0,2.0,0.9388599242775337,142805.0
1229,409.0,3.0,2.845483523506255,142805.0
1239,309.0,4.0,0.91008270365208,142805.0
1249,249.0,5.0,2.0964408683761206,142805.0
1259,69.0,18.0,0.7699865497774878,142805.0
1269,1269.0,1.0,1.678021891298511,142805.0
1279,79.0,16.0,1.2497561611181625,142805.0
1289,429.0,3.0,1.8416180628757375,142805.0
1299,99.0,13.0,2.1558638159059456,142805.0
1309,1309.0,1.0,1.981097590617747,142805.0
1319,109.0,12.0,2.436487387967765,142805.0
1329,69.0,19.0,1.1891172114045476,142805.0
1339,669.0,2.0,1.6869761063640993,142805.0
1349,89.0,15.0,0.6246038046503376,142805.0
1359,79.0,17.0,1.4388831396719195,142805.0
1369,1369.0,1.0,2.6338284327415757,142805.0
1379,229.0,6.0,0.8856642430061463,142805.0
1389,1389.0,1.0,1.4167218116181828,142805.0
1399,99.0,14.0,0.9723437504135778,142805.0
1409,469.0,3.0,2.1045814586971954,142805.0
1419,709.0,2.0,1.3666146464552527,142805.0
1429,109.0,13.0,2.3972700459546292,142805.0
1439,79.0,18.0,1.843650438098248,142805.0
1449,289.0,5.0,2.3623050795931597,142805.0
1459,729.0,2.0,2.3157891324417847,142805.0
1469,209.0,7.0,3.0460910516738227,142805.0
1479,369.0,4.0,2.351468611417869,142805.0
1489,1489.0,1.0,1.3656108178676134,142805.0
1499,99.0,15.0,2.9770344256250625,142805.0
1509,1509.0,1.0,2.1501098847083777,142805.0
1519,79.0,19.0,1.9292770316474508,142805.0
1529,89.0,17.0,2.8290644136927874,142805.0
1539,109.0,14.0,1.976302115166855,142805.0
1549,309.0,5.0,2.3714239610907253,142805.0
1559,119.0,13.0,1.0123527145817284,142805.0
1569,1569.0,1.0,2.0797581004705683,142805.0
1579,789.0,2.0,2.5009437941668393,142805.0
1589,529.0,3.0,1.3028602951557904,142805.0
1599,99.0,16.0,0.9789906060462368,142805.0
1609,229.0,7.0,2.4011791208898705,142805.0
1619,89.0,18.0,2.1341365994608132,142805.0
