,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.7612494229273215,142805.0
19,9.0,2.0,4.14651119877236,142805.0
29,9.0,3.0,3.869404259486953,142805.0
39,9.0,4.0,3.5619635611131066,142805.0
49,9.0,5.0,3.3433987681558897,142805.0
59,9.0,6.0,3.782688985811948,142805.0
69,9.0,7.0,3.5872528175924896,142805.0
79,9.0,8.0,3.8654460714630057,142805.0
89,9.0,9.0,3.8750029660925924,142805.0
99,9.0,10.0,3.7107798788177844,142805.0
109,9.0,11.0,3.5516035551869507,142805.0
119,9.0,12.0,2.8398988766936335,142805.0
129,9.0,13.0,3.7419555252870227,142805.0
139,9.0,14.0,3.54733799024602,142805.0
149,9.0,15.0,3.987119208842986,142805.0
159,9.0,16.0,3.0041238530636973,142805.0
169,9.0,17.0,4.285266760583101,142805.0
179,9.0,18.0,4.349776479162923,142805.0
189,9.0,19.0,3.8798963540434084,142805.0
199,19.0,10.0,4.009481010645601,142805.0
209,29.0,7.0,4.252568692858877,142805.0
219,19.0,11.0,3.7337033168980542,142805.0
229,229.0,1.0,3.5343538995067316,142805.0
239,19.0,12.0,4.113758427154689,142805.0
249,49.0,5.0,4.117490070107223,142805.0
259,19.0,13.0,3.8840760999870962,142805.0
269,29.0,9.0,4.246096812225609,142805.0
279,19.0,14.0,3.9002427989780153,142805.0
289,289.0,1.0,3.6765174351558323,142805.0
299,19.0,15.0,3.552116461155094,142805.0
309,309.0,1.0,3.8010385715850696,142805.0
319,19.0,16.0,4.294666808273035,142805.0
329,29.0,11.0,3.429735598158859,142805.0
339,19.0,17.0,3.9270543292183877,142805.0
349,49.0,7.0,3.8283041444207404,142805.0
359,19.0,18.0,4.145595076157895,142805.0
369,369.0,1.0,3.705625828614629,142805.0
379,19.0,19.0,3.863146458359059,142805.0
389,29.0,13.0,3.6540236152811634,142805.0
399,39.0,10.0,3.866803679099267,142805.0
409,409.0,1.0,3.8982091681056517,142805.0
419,29.0,14.0,3.47106450315558,142805.0
429,429.0,1.0,4.16166818839503,142805.0
439,39.0,11.0,4.181792634723354,142805.0
449,29.0,15.0,3.8430507441462747,142805.0
459,229.0,2.0,3.3817914785828194,142805.0
469,469.0,1.0,3.4399973847571945,142805.0
479,29.0,16.0,3.4247018039341963,142805.0
489,69.0,7.0,3.891923236892495,142805.0
499,49.0,10.0,3.8564314429893782,142805.0
509,29.0,17.0,3.8676159217581234,142805.0
519,39.0,13.0,4.120731382869727,142805.0
529,529.0,1.0,3.306207376878033,142805.0
539,29.0,18.0,3.9943918719285083,142805.0
549,49.0,11.0,3.9085385066289233,142805.0
559,39.0,14.0,3.679090137676627,142805.0
569,29.0,19.0,4.001534268284223,142805.0
579,289.0,2.0,3.425693032234011,142805.0
589,589.0,1.0,4.148307874128801,142805.0
599,39.0,15.0,3.6856601390721866,142805.0
609,609.0,1.0,4.203380302627199,142805.0
619,309.0,2.0,3.8171983692312073,142805.0
629,69.0,9.0,3.9164155872623243,142805.0
639,39.0,16.0,3.9771472547276883,142805.0
649,49.0,13.0,3.62476817723031,142805.0
659,59.0,11.0,3.6679265653360993,142805.0
669,669.0,1.0,4.35412585407252,142805.0
679,39.0,17.0,4.19194674725454,142805.0
689,229.0,3.0,3.910950859259835,142805.0
699,49.0,14.0,3.68790017921286,142805.0
709,709.0,1.0,4.089876790693638,142805.0
719,39.0,18.0,3.9140150867171024,142805.0
729,729.0,1.0,4.101638279129505,142805.0
739,369.0,2.0,3.722598302352916,142805.0
749,49.0,15.0,3.5465231633907486,142805.0
759,39.0,19.0,4.09670920107785,142805.0
769,69.0,11.0,3.277131323326906,142805.0
779,59.0,13.0,3.609974818055876,142805.0
789,789.0,1.0,3.5225540272298552,142805.0
799,49.0,16.0,3.994165156062823,142805.0
809,89.0,9.0,3.547857427313085,142805.0
819,409.0,2.0,4.156690800624096,142805.0
829,829.0,1.0,3.7707999773650505,142805.0
839,59.0,14.0,3.6669936898574726,142805.0
849,49.0,17.0,4.13316407786927,142805.0
859,429.0,2.0,3.8955228869659013,142805.0
869,289.0,3.0,4.216653731707098,142805.0
879,79.0,11.0,3.514463089910123,142805.0
889,889.0,1.0,3.7655096519982383,142805.0
899,49.0,18.0,4.265488615580911,142805.0
909,69.0,13.0,3.6328817047975157,142805.0
919,229.0,4.0,3.9237539543280775,142805.0
