,episode,iteration,epReward,Number of Balls
9,9.0,1.0,3.962942129784193,142805.0
19,9.0,2.0,4.113160814858683,142805.0
29,9.0,3.0,2.7029108279198564,142805.0
39,9.0,4.0,4.0676987207929285,142805.0
49,9.0,5.0,4.062099360140352,142805.0
59,9.0,6.0,4.055493378126986,142805.0
69,9.0,7.0,4.22840016426305,142805.0
79,9.0,8.0,4.015799941014081,142805.0
89,9.0,9.0,3.0804856857389886,142805.0
99,9.0,10.0,4.238177297538588,142805.0
109,9.0,11.0,3.728091467961303,142805.0
119,9.0,12.0,3.9872122204450378,142805.0
129,9.0,13.0,3.7364231784215924,142805.0
139,9.0,14.0,3.5775718458182095,142805.0
149,9.0,15.0,4.230314805956982,142805.0
159,9.0,16.0,3.952789358419459,142805.0
169,9.0,17.0,3.41967041019201,142805.0
179,9.0,18.0,4.017166550522511,142805.0
189,9.0,19.0,4.0930522251794885,142805.0
199,19.0,10.0,4.155079000309464,142805.0
209,29.0,7.0,3.680125397633415,142805.0
219,19.0,11.0,4.314100651894861,142805.0
229,229.0,1.0,4.021584283686017,142805.0
239,19.0,12.0,3.405045458471525,142805.0
249,49.0,5.0,3.9104111118006353,142805.0
259,19.0,13.0,3.6828157224989395,142805.0
269,29.0,9.0,4.46512637028686,142805.0
279,19.0,14.0,4.221595145208011,142805.0
289,289.0,1.0,3.292708545326348,142805.0
299,19.0,15.0,3.9266913899222797,142805.0
309,309.0,1.0,3.424603339145099,142805.0
319,19.0,16.0,3.19585771798001,142805.0
329,29.0,11.0,4.382009506529322,142805.0
339,19.0,17.0,3.9085804214219513,142805.0
349,49.0,7.0,3.5839946874457103,142805.0
359,19.0,18.0,4.224857075720217,142805.0
369,369.0,1.0,3.748469582156119,142805.0
379,19.0,19.0,3.9092238159187525,142805.0
389,29.0,13.0,4.239713182684045,142805.0
399,39.0,10.0,4.505761195927864,142805.0
409,409.0,1.0,3.8183065833210534,142805.0
419,29.0,14.0,3.9608169885787943,142805.0
429,429.0,1.0,4.189512105035681,142805.0
439,39.0,11.0,3.7964591683920967,142805.0
449,29.0,15.0,4.049677610233364,142805.0
459,229.0,2.0,4.074056221261885,142805.0
469,469.0,1.0,3.8934673520829013,142805.0
479,29.0,16.0,3.7496782474060995,142805.0
489,69.0,7.0,3.70237270255355,142805.0
499,49.0,10.0,3.7230064137892196,142805.0
509,29.0,17.0,4.059286695805298,142805.0
519,39.0,13.0,3.704112602796057,142805.0
529,529.0,1.0,3.951893334590383,142805.0
539,29.0,18.0,4.36876713148767,142805.0
549,49.0,11.0,4.486979768690009,142805.0
559,39.0,14.0,3.2761696895708035,142805.0
569,29.0,19.0,4.103956400621596,142805.0
579,289.0,2.0,3.769485247816685,142805.0
589,589.0,1.0,4.10795582929425,142805.0
599,39.0,15.0,4.217559341813523,142805.0
609,609.0,1.0,4.173182731798075,142805.0
619,309.0,2.0,3.9802209332143814,142805.0
629,69.0,9.0,3.510015397282629,142805.0
639,39.0,16.0,3.947007689940849,142805.0
649,49.0,13.0,4.278580961213612,142805.0
659,59.0,11.0,3.571755288046534,142805.0
669,669.0,1.0,3.8809297928512816,142805.0
679,39.0,17.0,4.197000815684014,142805.0
689,229.0,3.0,3.594850026622515,142805.0
699,49.0,14.0,3.7967140600251743,142805.0
709,709.0,1.0,4.435189318467356,142805.0
719,39.0,18.0,3.9395880462536605,142805.0
729,729.0,1.0,4.3157793827383575,142805.0
739,369.0,2.0,3.5171757179941054,142805.0
749,49.0,15.0,3.9857912492102257,142805.0
759,39.0,19.0,4.292801269376642,142805.0
769,69.0,11.0,3.696976140175887,142805.0
779,59.0,13.0,4.797290468950704,142805.0
789,789.0,1.0,4.587680493105468,142805.0
799,49.0,16.0,3.7762991586909935,142805.0
809,89.0,9.0,4.057510909952546,142805.0
819,409.0,2.0,4.381145329097665,142805.0
829,829.0,1.0,3.8760247823121157,142805.0
839,59.0,14.0,3.305626149738974,142805.0
849,49.0,17.0,3.650224311312231,142805.0
859,429.0,2.0,3.7565939850928696,142805.0
869,289.0,3.0,3.5917358974330273,142805.0
879,79.0,11.0,4.031608761695177,142805.0
889,889.0,1.0,3.968649354330282,142805.0
899,49.0,18.0,4.26462826385496,142805.0
909,69.0,13.0,4.292034648565752,142805.0
919,229.0,4.0,4.446248662993037,142805.0
929,309.0,3.0,3.257556248194191,142805.0
939,469.0,2.0,3.5834914949945267,142805.0
949,49.0,19.0,3.363590730582888,142805.0
959,59.0,16.0,3.879130768284067,142805.0
969,969.0,1.0,3.9032576127508194,142805.0
979,69.0,14.0,4.344011130056137,142805.0
989,89.0,11.0,4.128826432591215,142805.0
999,99.0,10.0,4.0518651299282,142805.0
1009,1009.0,1.0,4.379710412153421,142805.0
1019,59.0,17.0,4.445684339077237,142805.0
1029,1029.0,1.0,4.800883442579989,142805.0
1039,79.0,13.0,3.7970384060393343,142805.0
1049,69.0,15.0,3.744496039260578,142805.0
1059,529.0,2.0,3.6598680692335015,142805.0
1069,1069.0,1.0,3.8574118418728833,142805.0
1079,59.0,18.0,4.079619223571181,142805.0
1089,1089.0,1.0,4.314073717065757,142805.0
1099,99.0,11.0,3.9547829027766834,142805.0
1109,369.0,3.0,3.9596061942027845,142805.0
1119,69.0,16.0,3.9143391100151743,142805.0
1129,1129.0,1.0,4.334864111212079,142805.0
1139,59.0,19.0,4.302954823116012,142805.0
1149,229.0,5.0,3.1042401522437695,142805.0
1159,289.0,4.0,3.464722040656646,142805.0
1169,89.0,13.0,4.085949784448696,142805.0
1179,589.0,2.0,3.8443509277459835,142805.0
1189,69.0,17.0,3.9979426279040164,142805.0
1199,79.0,15.0,4.108414086921578,142805.0
1209,109.0,11.0,4.146171607646259,142805.0
1219,609.0,2.0,4.286648157309474,142805.0
1229,409.0,3.0,2.5663450734042303,142805.0
1239,309.0,4.0,3.9612047149909175,142805.0
1249,249.0,5.0,3.5120681490570873,142805.0
1259,69.0,18.0,4.020666422234152,142805.0
1269,1269.0,1.0,4.03525642038214,142805.0
1279,79.0,16.0,4.493282839611471,142805.0
1289,429.0,3.0,4.2531737028210435,142805.0
1299,99.0,13.0,3.387977910703144,142805.0
1309,1309.0,1.0,3.8117737495876423,142805.0
1319,109.0,12.0,3.5155690128345234,142805.0
1329,69.0,19.0,3.8651863339105357,142805.0
1339,669.0,2.0,3.300297131030657,142805.0
1349,89.0,15.0,4.519860258460297,142805.0
1359,79.0,17.0,4.023787638964697,142805.0
1369,1369.0,1.0,4.020913495464607,142805.0
1379,229.0,6.0,4.271493135323162,142805.0
1389,1389.0,1.0,4.458943037954975,142805.0
1399,99.0,14.0,4.164878544495816,142805.0
1409,469.0,3.0,4.433483985678136,142805.0
1419,709.0,2.0,4.255926106559305,142805.0
1429,109.0,13.0,4.074709396793082,142805.0
1439,79.0,18.0,4.311548233074432,142805.0
1449,289.0,5.0,3.3501927143655594,142805.0
1459,729.0,2.0,3.7488549248247365,142805.0
1469,209.0,7.0,4.064867405649962,142805.0
1479,369.0,4.0,3.1648612160072567,142805.0
1489,1489.0,1.0,4.16812685480168,142805.0
1499,99.0,15.0,4.490997962272045,142805.0
1509,1509.0,1.0,3.966687758119832,142805.0
1519,79.0,19.0,3.2241127279953474,142805.0
1529,89.0,17.0,4.044231057185515,142805.0
1539,109.0,14.0,4.19688782760574,142805.0
1549,309.0,5.0,3.7550963507486195,142805.0
1559,119.0,13.0,4.179880557741243,142805.0
1569,1569.0,1.0,3.8546574689646658,142805.0
1579,789.0,2.0,4.471832738854047,142805.0
1589,529.0,3.0,2.119271260914702,142805.0
1599,99.0,16.0,3.8243501403133138,142805.0
1609,229.0,7.0,3.880502279237552,142805.0
1619,89.0,18.0,3.7664196968456984,142805.0
1629,1629.0,1.0,4.120306849258564,142805.0
1639,409.0,4.0,2.8409960407537116,142805.0
1649,109.0,15.0,4.119022275290643,142805.0
1659,829.0,2.0,4.329465098053539,142805.0
1669,1669.0,1.0,3.423565756632724,142805.0
1679,119.0,14.0,4.140844023610176,142805.0
1689,129.0,13.0,3.9765342892429123,142805.0
1699,99.0,17.0,4.125463232179547,142805.0
1709,89.0,19.0,3.617292518267382,142805.0
1719,429.0,4.0,3.620349483603049,142805.0
1729,1729.0,1.0,3.8271925330519414,142805.0
1739,289.0,6.0,4.082312936866865,142805.0
1749,249.0,7.0,3.6142178627387103,142805.0
1759,109.0,16.0,3.718327978501854,142805.0
1769,589.0,3.0,4.5162854313453495,142805.0
1779,889.0,2.0,4.152676162662301,142805.0
1789,1789.0,1.0,3.7930963828772866,142805.0
1799,99.0,18.0,4.367690542096675,142805.0
1809,1809.0,1.0,4.323198326491437,142805.0
1819,129.0,14.0,3.3974578296079874,142805.0
1829,609.0,3.0,2.8257591478286495,142805.0
1839,229.0,8.0,4.378275294230981,142805.0
1849,369.0,5.0,3.9147959054736656,142805.0
1859,309.0,6.0,3.98177298570726,142805.0
1869,109.0,17.0,4.29005018274332,142805.0
1879,469.0,4.0,4.08701057477337,142805.0
1889,209.0,9.0,3.9780886700452314,142805.0
1899,99.0,19.0,4.479011138191269,142805.0
1909,1909.0,1.0,4.481437359747024,142805.0
1919,119.0,16.0,3.9640712769177693,142805.0
1929,1929.0,1.0,4.226747082753319,142805.0
1939,969.0,2.0,4.305676216066547,142805.0
1949,129.0,15.0,4.230991247099186,142805.0
1959,139.0,14.0,4.299190496729062,142805.0
1969,1969.0,1.0,4.070434832341885,142805.0
1979,109.0,18.0,3.8090086647454378,142805.0
1989,1989.0,1.0,3.104595858999807,142805.0
1999,199.0,10.0,4.047962098704746,142805.0
2009,669.0,3.0,3.4074419193719963,142805.0
2019,1009.0,2.0,3.638945886285195,142805.0
2029,289.0,7.0,4.324251380411879,142805.0
2039,119.0,17.0,3.694710143014623,142805.0
2049,409.0,5.0,3.885719742662734,142805.0
2059,1029.0,2.0,4.315542078229196,142805.0
2069,229.0,9.0,3.970420136790543,142805.0
2079,129.0,16.0,3.8859677574715827,142805.0
2089,109.0,19.0,4.332953781285727,142805.0
2099,139.0,15.0,4.398852137891492,142805.0
2109,2109.0,1.0,4.052884812058023,142805.0
2119,529.0,4.0,3.9886559109909987,142805.0
2129,709.0,3.0,3.3144626700706974,142805.0
2139,1069.0,2.0,3.1194019780191313,142805.0
2149,429.0,5.0,3.7403314917509007,142805.0
2159,119.0,18.0,4.418007686066172,142805.0
2169,309.0,7.0,3.523084826996762,142805.0
2179,1089.0,2.0,3.9572611898374186,142805.0
2189,729.0,3.0,4.076133490660978,142805.0
2199,199.0,11.0,4.042900821656494,142805.0
2209,129.0,17.0,4.20593719647565,142805.0
2219,369.0,6.0,3.4044935183906793,142805.0
2229,2229.0,1.0,3.3041790866924576,142805.0
2239,139.0,16.0,3.173858920329854,142805.0
2249,149.0,15.0,3.9590628974584523,142805.0
2259,1129.0,2.0,3.8961902459782354,142805.0
2269,2269.0,1.0,4.099573390516165,142805.0
2279,119.0,19.0,4.183927444747217,142805.0
2289,2289.0,1.0,3.90625277649736,142805.0
2299,229.0,10.0,3.412408734647516,142805.0
2309,209.0,11.0,4.2465504397195275,142805.0
2319,289.0,8.0,3.9237054072885913,142805.0
2329,2329.0,1.0,4.239765839277006,142805.0
2339,129.0,18.0,4.18893716591654,142805.0
2349,469.0,5.0,3.8856377288199484,142805.0
2359,589.0,4.0,3.625223909386687,142805.0
2369,789.0,3.0,3.9810500423346404,142805.0
2379,139.0,17.0,4.360327048599853,142805.0
2389,2389.0,1.0,4.169419023004345,142805.0
2399,149.0,16.0,3.7364284875120757,142805.0
2409,2409.0,1.0,4.174764065353864,142805.0
2419,219.0,11.0,4.122659521732411,142805.0
2429,269.0,9.0,3.352886033565422,142805.0
2439,609.0,4.0,4.0887160441015125,142805.0
2449,349.0,7.0,3.5857196730425254,142805.0
2459,409.0,6.0,3.969290369389517,142805.0
2469,129.0,19.0,3.6918001705876615,142805.0
2479,309.0,8.0,3.901527121268746,142805.0
2489,829.0,3.0,3.0097446989583636,142805.0
2499,249.0,10.0,4.000665203432935,142805.0
2509,2509.0,1.0,4.266608562084285,142805.0
2519,139.0,18.0,3.476351562860221,142805.0
2529,229.0,11.0,4.553694533570125,142805.0
2539,1269.0,2.0,4.194761215431895,142805.0
2549,149.0,17.0,3.854512209174232,142805.0
2559,159.0,16.0,4.181604327417687,142805.0
2569,2569.0,1.0,3.9466907116676153,142805.0
2579,429.0,6.0,3.643287546182326,142805.0
2589,369.0,7.0,3.9764653243244763,142805.0
2599,199.0,13.0,2.9396536347924958,142805.0
2609,289.0,9.0,3.4719740946801894,142805.0
2619,1309.0,2.0,3.7154253921334277,142805.0
2629,2629.0,1.0,4.256728210306549,142805.0
2639,219.0,12.0,3.5475001204189933,142805.0
