episode,iteration,epReward,Number of Balls
9.00,1.00,3.96,95.00
9.00,2.00,4.61,110.00
9.00,3.00,3.63,80.00
9.00,4.00,3.37,95.00
9.00,5.00,4.00,110.00
9.00,6.00,4.66,110.00
9.00,7.00,4.00,110.00
9.00,8.00,3.62,110.00
9.00,9.00,3.97,80.00
9.00,10.00,4.39,95.00
9.00,11.00,4.09,95.00
9.00,12.00,4.04,110.00
9.00,13.00,3.32,95.00
9.00,14.00,2.84,80.00
9.00,15.00,3.86,95.00
9.00,16.00,3.76,125.00
9.00,17.00,3.36,95.00
9.00,18.00,3.87,80.00
9.00,19.00,4.25,95.00
9.00,20.00,3.89,95.00
9.00,21.00,4.17,80.00
9.00,22.00,3.81,110.00
9.00,23.00,4.02,95.00
9.00,24.00,4.29,80.00
9.00,25.00,4.32,140.00
9.00,26.00,3.68,110.00
9.00,27.00,4.28,95.00
9.00,28.00,4.00,80.00
9.00,29.00,3.26,95.00
9.00,30.00,4.06,80.00
9.00,31.00,4.05,95.00
9.00,32.00,3.43,140.00
9.00,33.00,4.11,125.00
9.00,34.00,3.89,110.00
9.00,35.00,4.31,110.00
9.00,36.00,3.89,125.00
9.00,37.00,4.35,95.00
9.00,38.00,4.37,80.00
9.00,39.00,3.58,110.00
9.00,40.00,4.41,80.00
9.00,41.00,3.97,155.00
9.00,42.00,4.12,80.00
9.00,43.00,3.95,125.00
9.00,44.00,3.55,95.00
9.00,45.00,4.33,80.00
9.00,46.00,3.91,80.00
9.00,47.00,3.57,95.00
9.00,48.00,4.24,80.00
9.00,49.00,4.12,80.00
19.00,25.00,4.21,215.00
29.00,17.00,3.37,380.00
19.00,26.00,4.49,155.00
529.00,1.00,3.31,1370.00
19.00,27.00,3.63,125.00
49.00,11.00,3.00,560.00
19.00,28.00,3.65,185.00
29.00,19.00,3.98,335.00
19.00,29.00,3.73,185.00
589.00,1.00,4.48,1415.00
19.00,30.00,4.20,125.00
609.00,1.00,4.38,1445.00
19.00,31.00,4.31,155.00
29.00,21.00,4.28,350.00
19.00,32.00,4.30,200.00
49.00,13.00,4.38,470.00
19.00,33.00,3.04,200.00
669.00,1.00,3.95,1505.00
19.00,34.00,3.96,155.00
29.00,23.00,4.69,365.00
19.00,35.00,4.24,170.00
709.00,1.00,4.36,1580.00
19.00,36.00,3.97,185.00
729.00,1.00,4.45,1580.00
19.00,37.00,4.25,185.00
29.00,25.00,4.03,350.00
19.00,38.00,4.10,170.00
69.00,11.00,4.21,710.00
19.00,39.00,4.30,230.00
789.00,1.00,4.17,1640.00
19.00,40.00,3.76,140.00
29.00,27.00,4.39,260.00
19.00,41.00,4.34,170.00
829.00,1.00,3.93,1670.00
19.00,42.00,4.69,125.00
49.00,17.00,4.27,560.00
19.00,43.00,3.92,170.00
29.00,29.00,4.08,275.00
19.00,44.00,3.69,155.00
889.00,1.00,4.11,1835.00
19.00,45.00,3.61,140.00
69.00,13.00,4.52,590.00
19.00,46.00,4.35,170.00
29.00,31.00,4.25,335.00
19.00,47.00,3.34,140.00
49.00,19.00,3.99,485.00
19.00,48.00,3.48,155.00
969.00,1.00,3.64,1970.00
19.00,49.00,3.28,155.00
29.00,33.00,4.76,245.00
39.00,25.00,3.64,470.00
1009.00,1.00,4.13,2030.00
29.00,34.00,3.51,335.00
1029.00,1.00,3.36,2060.00
39.00,26.00,3.99,485.00
29.00,35.00,4.48,305.00
529.00,2.00,3.72,1415.00
1069.00,1.00,3.91,2105.00
29.00,36.00,4.13,275.00
1089.00,1.00,3.59,2135.00
49.00,22.00,4.22,440.00
29.00,37.00,4.04,380.00
39.00,28.00,4.07,395.00
1129.00,1.00,4.21,2150.00
29.00,38.00,4.35,425.00
49.00,23.00,3.48,530.00
39.00,29.00,4.32,320.00
29.00,39.00,4.37,350.00
589.00,2.00,3.51,1475.00
69.00,17.00,3.60,635.00
29.00,40.00,4.29,410.00
109.00,11.00,4.59,845.00
609.00,2.00,4.28,1520.00
29.00,41.00,3.90,275.00
39.00,31.00,4.37,425.00
49.00,25.00,4.45,575.00
29.00,42.00,3.91,320.00
1269.00,1.00,4.47,2345.00
39.00,32.00,3.86,440.00
29.00,43.00,3.98,260.00
49.00,26.00,4.00,560.00
1309.00,1.00,4.48,2375.00
29.00,44.00,4.64,275.00
69.00,19.00,4.26,515.00
669.00,2.00,3.43,1580.00
29.00,45.00,4.22,305.00
39.00,34.00,4.25,380.00
1369.00,1.00,4.36,2420.00
29.00,46.00,3.62,260.00
1389.00,1.00,4.56,2435.00
39.00,35.00,4.23,380.00
29.00,47.00,4.69,260.00
709.00,2.00,3.44,1670.00
109.00,13.00,4.48,710.00
29.00,48.00,4.32,425.00
49.00,29.00,4.59,395.00
729.00,2.00,4.14,1715.00
29.00,49.00,3.84,260.00
39.00,37.00,3.43,440.00
1489.00,1.00,4.60,2555.00
49.00,30.00,4.33,575.00
1509.00,1.00,3.62,2555.00
39.00,38.00,4.31,485.00
89.00,17.00,4.24,725.00
69.00,22.00,4.71,605.00
49.00,31.00,3.61,455.00
39.00,39.00,3.98,500.00
1569.00,1.00,3.95,2615.00
789.00,2.00,4.51,1805.00
529.00,3.00,4.42,1340.00
39.00,40.00,4.47,515.00
69.00,23.00,4.11,620.00
59.00,27.00,4.45,530.00
1629.00,1.00,3.91,2675.00
39.00,41.00,4.24,395.00
49.00,33.00,3.68,425.00
829.00,2.00,4.07,1865.00
1669.00,1.00,4.42,2720.00
39.00,42.00,4.05,425.00
129.00,13.00,4.41,740.00
49.00,34.00,4.12,410.00
89.00,19.00,3.84,545.00
39.00,43.00,4.36,365.00
1729.00,1.00,4.49,2840.00
59.00,29.00,3.59,455.00
49.00,35.00,4.26,440.00
39.00,44.00,3.59,335.00
589.00,3.00,3.83,1370.00
889.00,2.00,3.91,1955.00
1789.00,1.00,3.65,2870.00
39.00,45.00,3.74,410.00
1809.00,1.00,3.96,2885.00
69.00,26.00,4.21,725.00
609.00,3.00,4.31,1385.00
39.00,46.00,4.64,350.00
49.00,37.00,3.95,485.00
59.00,31.00,3.95,515.00
109.00,17.00,3.99,785.00
39.00,47.00,3.85,365.00
69.00,27.00,3.80,590.00
49.00,38.00,3.90,575.00
1909.00,1.00,4.39,2990.00
39.00,48.00,3.91,560.00
1929.00,1.00,3.89,3020.00
969.00,2.00,4.00,2060.00
49.00,39.00,4.21,545.00
39.00,49.00,3.75,365.00
1969.00,1.00,4.64,3080.00
59.00,33.00,4.34,440.00
1989.00,1.00,4.01,3095.00
49.00,40.00,4.10,575.00
669.00,3.00,4.57,1445.00
1009.00,2.00,4.26,2075.00
69.00,29.00,4.32,485.00
59.00,34.00,4.39,455.00
49.00,41.00,3.66,470.00
1029.00,2.00,4.38,2135.00
89.00,23.00,3.50,650.00
79.00,26.00,4.09,770.00
109.00,19.00,3.72,575.00
49.00,42.00,4.43,470.00
529.00,4.00,4.12,1400.00
709.00,3.00,4.33,1460.00
1069.00,2.00,3.76,2165.00
49.00,43.00,4.11,500.00
59.00,36.00,3.26,470.00
69.00,31.00,3.60,590.00
1089.00,2.00,3.71,2195.00
729.00,3.00,3.66,1490.00
49.00,44.00,3.99,350.00
129.00,17.00,4.30,800.00
59.00,37.00,3.55,605.00
69.00,32.00,4.09,620.00
49.00,45.00,4.45,440.00
1129.00,2.00,3.81,2285.00
59.00,38.00,4.10,635.00
49.00,46.00,4.45,395.00
69.00,33.00,3.49,485.00
79.00,29.00,3.95,515.00
59.00,39.00,4.09,590.00
49.00,47.00,3.65,410.00
589.00,4.00,4.02,1490.00
789.00,3.00,3.87,1520.00
69.00,34.00,3.84,530.00
49.00,48.00,3.81,710.00
109.00,22.00,4.31,695.00
89.00,27.00,4.61,725.00
609.00,4.00,3.62,1535.00
49.00,49.00,4.15,395.00
59.00,41.00,4.15,530.00
129.00,19.00,4.48,650.00
79.00,31.00,3.57,635.00
829.00,3.00,3.94,1595.00
99.00,25.00,4.03,830.00
59.00,42.00,4.34,515.00
109.00,23.00,4.06,680.00
1269.00,2.00,4.10,2525.00
149.00,17.00,4.30,860.00
79.00,32.00,3.81,635.00
59.00,43.00,4.46,635.00
69.00,37.00,4.30,665.00
99.00,26.00,4.35,830.00
89.00,29.00,4.41,590.00
1309.00,2.00,3.78,2570.00
59.00,44.00,4.09,410.00
529.00,5.00,4.30,1385.00
